literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note
泄露天機	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
法力無邊	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
法網難逃	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
法輪常轉	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
泛泛之交	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
泛泛之輩	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
波光粼粼	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
波濤洶湧	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
波瀾壯闊	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
波瀾老成	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
波譎雲詭	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
泣不成聲	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
泥古不化	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
泥菩薩過江	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
泰山北斗	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
泰山壓頂	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
泰山鴻毛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
泰然自得	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
泰然自若	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
泰然處之	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
泱泱大國	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
洋洋大觀	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洋洋得意	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洋洋灑灑	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洋洋自得	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洋為中用	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洗心滌慮	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洗心革面	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洗手不幹	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洗耳恭聽	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洛陽紙貴	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洞天福地	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洞察一切	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
洞房花燭	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洞若觀火	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
津津有味	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
津津樂道	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洪水猛獸	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
洪福齊天	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
洶湧澎湃	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
活剝生吞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
活學活用	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
活蹦亂跳	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
活靈活現	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
活龍活現	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
流光溢彩	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
流年不利	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
流星趕月	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
流水不腐	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
流水無情	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
流水行雲	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
流芳百世	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
流落江湖	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
流裏流氣	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
流言蜚語	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
流連忘返	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
流離失所	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
流離顛沛	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
浩如煙海	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
浩氣長存	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
浩浩蕩蕩	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
浩然之氣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
浩然正氣	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
浪子回頭	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
浪子回頭金不換	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
浪跡天涯	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
浮光掠影	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
浮家泛宅	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
浮想聯翩	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
浮雲朝露	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
浴血奮戰	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海不揚波	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海市蜃樓	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
海底撈月	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海底撈針	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海晏河清	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海枯石爛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
海水不可斗量	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
海納百川	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
海角天涯	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
海誓山盟	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
海闊天空	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
涅而不淄	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涇渭不分	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涇渭分明	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
消愁解悶	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
消聲匿跡	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
涉世未深	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
涎皮賴臉	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
涓滴歸公	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涕泗橫流	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涕泗縱橫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涕淚交流	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
涸澤而漁	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
涸轍之鮒	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淋漓盡致	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淑人君子	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淚如泉湧	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淚如雨下	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淚流滿面	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淡妝濃抹	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淡泊名利	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
淡泊明志	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淡而無味	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淪肌浹髓	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淫詞穢語	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淫詞褻語	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深不可測	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深仇大恨	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深信不疑	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深入人心	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
深入淺出	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深入骨髓	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深受其害	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
深孚眾望	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
深宅大院	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
深居簡出	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
深得人心	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深思熟慮	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
深情厚意	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
深情厚誼	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
深情款款	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
深惡痛絕	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深更半夜	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深根固柢	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深溝高壘	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
深藏不露	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
深藏若虛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
深謀遠慮	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深謀遠略	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
深閉固拒	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
混世魔王	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
混水摸魚	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
混水撈魚	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
混淆是非	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
混淆視聽	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
混淆黑白	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
混混噩噩	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
混混沌沌	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
混為一談	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
淺嘗輒止	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
淺斟低唱	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
添枝加葉	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
添油加醋	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
添磚加瓦	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
清一色	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
清君側	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清官難斷家務事	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清平世界	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清心寡慾	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
清歌妙舞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清水衙門	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
清清楚楚	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
清清爽爽	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
清清白白	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
清湯寡水	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
清規戒律	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清閒自在	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
清風兩袖	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
清風勁節	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
清風徐來	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
清風明月	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渙然冰釋	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
減租減息	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
温情脈脈	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
温故知新	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
温文儒雅	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
温文爾雅	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
温柔敦厚	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
温良恭儉讓	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
渺渺茫茫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
渺無人煙	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渺無音信	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾水摸魚	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾渾噩噩	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾渾沌沌	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
渾然一體	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾然天成	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾身解數	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾金璞玉	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
渾頭渾腦	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
湖光山色	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
湯池鐵城	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
源源不斷	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
源源不絕	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
源源本本	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
源遠流長	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
溘先朝露	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
溜之大吉	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
溜鬚拍馬	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
溝溝坎坎	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
溢於言表	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
溢美之詞	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
滂沱大雨	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
滄海一粟	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滄海桑田	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滄海遺珠	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滅門之禍	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
滅頂之災	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滑頭滑腦	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滔天大罪	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滔滔不絕	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滴水不漏	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滴水不羼	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滴水成冰	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
滴水穿石	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滴滴答答	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
滴酒不沾	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
滾瓜爛熟	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿不在乎	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滿園春色	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿城風雨	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿天飛	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滿山遍野	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿打滿算	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿盤皆輸	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿目瘡痍	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿腔熱忱	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
滿腹牢騷	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
滿腹經綸	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
滿載而歸	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
滿門抄斬	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
滿面春風	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漁人之利	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
漆黑一團	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
漏泄天機	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漏網之魚	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漏脯充飢	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漠不關心	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
漫不經心	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
漫天大謊	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漫天遍地	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漫天遍野	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漫山遍野	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
漫無邊際	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
漸入佳境	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
漸行漸遠	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
潑冷水	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
潑婦罵街	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
潑水難收	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
潔身自好	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
潔身自愛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
潛神默記	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
潛移默化	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
潛龍伏虎	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
潰不成軍	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
潸然淚下	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
潺潺流水	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
澡垢索疵	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
激昂慷慨	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
激濁揚清	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
濃墨重彩	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
濃眉大眼	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
濛濛細雨	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
濟世之才	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
濟困扶危	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
濟弱扶傾	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
濟濟一堂	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
濫砍濫伐	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
濫竽充數	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
瀟灑自如	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
火上加油	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火上澆油	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
火中取栗	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火冒三丈	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
火急火燎	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火樹銀花	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火海刀山	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火燒火燎	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火燒眉毛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
火眼金睛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
灰心喪氣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
灰飛煙滅	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
炎黃子孫	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
炒買炒賣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
炙手可熱	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
炯炯有神	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
為之動容	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
為五斗米折腰	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
